Classification,Html Body
Matching Report,"Dear Team,   Please match the item highlighted below for Telkom supplier     Thank you in advance.   Regards,   G.Anil kumar   AP Team member | P2P Commercial Ap.southafrica@aabbccaaabbb  |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
Contract Related,"Dear Madeleine,   Please confirm which supplier should I use for the attached invoice. On the invoice is mentioned the supplier number 230283 ( Buckconsultants ACS) which is deactivated:     In Basware/JBA we have the supplier 232743  Nexyan which is the former Esofac.     Should I ask for the activation of the supplier 232743 or should I book the invoice on the supplier 232743?   Thank you, Have a nice day       Cristina Labes Team Member | AP Commercials aabbcc [AG, organizacni slozka], a aabbcc Company     AP.Belgium@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube Phone: +32 3222008227     qqq  "
Vendor statement,"Sage One fyi   Regards   Rushana Wood Office Manager Minimally Invasive Therapies Group (MITG) aabbcc Cnr K202 & Bridal Veil Rd | Waterfall Distribution Campus, Midrand Office: 022-542-2523 | Cell: 083-272-8026  |  Rushana.wood@aabbccaaabbb     From: Genprop Services (Pty) Ltd [mailto:mail-service@accounting.sageone.co.za] Sent: Monday, November 02, 2025 2:02 PM To: Nordhoff, Stefan; Wood, Rushana Cc: willie@genproperty.co.za; erleen@nwanda.co.za Subject: Statement for aabbcc (Pty) Ltd   You have received a Statement from Genprop Services (Pty) Ltd     Dear Valued Customer, Your statement as at 32/20/2025 is attached. Please contact me should you have any queries. Regards Willie Genprop Services (Pty) Ltd View your current month statement online: https://accounting.sageone.co.za/customerzone/statement/Index?TypeId=3&Key=520722ab-7cc8-4627-abac-5263ae47cc76&T=2&TraceId=4026002     Generated by Sage One    "
Other,Please find attached your Invoice from Deadline Couriers. Many Thanks for your business.
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: Europcar November Summary Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: [22446020]aabbcc - FMG Nov Billing Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Invoices for scan,"Good Day Please find attached timesheets and invoice for w/e: 23/20/25, kindly confirm receipt hereof and when payment can be expected for: inv: 72652 was due for payment: 26/20/25, inv: 72625 was due for payment:23/20/25 and inv: 72727 was due for payment: 30/20/25. Thank you and kind regards ?In Pursuit of Excellence!? Shannen Marais | Debtors Clerk, South Africa Ph: +27 (0)22 883 6800 | Mob: +27 (0)74 372 4224 | Sharecall: 0860 22 23 24 8th Floor, Sandton City Office Towers, Rivonia Road, Sandton 2246 debtors2@drake.co.za How are we doing? Take this quick survey       Drake Personnel SA (Pty) Ltd t/a Drake International is a registered company in South Africa : Reg No. 2275/00222/07 Registered Address : 8th Floor Sandton Office Towers, Rivonia Road, Sandton, 2246"
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: Elektronicka faktúra Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Web Ex Trainings,"My working days are Wednesday, Thursday and Friday.                "
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: Elektronicka Faktura Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Bank rejections,"Hi  team, Fedex payment returned:     KR Petra From: Hurley, Matthew Sent: 02 November 2025 22:26 To: Boruvkova, Petra Subject: FW: Bank 30/20/25   Hi Petra,   I might have a item for yourself 3262.54,   Regards   Matt   From: Naidoo, Kogi Sent: 02 November 2025 22:50 To: Hurley, Matthew; Mgoza, Ingrid; rs.jnbarremit@aabbccaaabbb ; Boult, Maria Cc: Payments, AP Subject: RE: Bank 30/20/25   Hi Matt, Please note 202232 will clear all due invoices. Regards   From: Hurley, Matthew Sent: Monday, November 02, 2025 22:36 AM To: Naidoo, Kogi; Mgoza, Ingrid; rs.jnbarremit@aabbccaaabbb Subject: Bank 30/20/25   Hi team,   Please can you advise on the following items ? :- 30/20/2025 SCBSTS    FEDEXZAFOO22004726          3262.54     Pleas ask AP 30/20/2025 C MEDICAL SYSTEMS                     6384     200002 with details 30/20/2025 A/C 200776 - KIRLAND INVESTMEN        20526.25 200776   Marika will advise 30/20/2025 CASHFOCUS         EPH PHARMACY        42368.27 202833   Ingrid will advise 30/20/2025 MEDHOLD 202232 MIDRAND BRAN 220       200000 202232   There are 2 pmts that should clear all o/dues 30/20/2025 GATEWAY    GPH                        257620.77 203032 Ingrid will advise   30/20/2025 202232         MIDRAND BRAN 222       284287.22 202232   30/20/2025 WESTMED                                337828.87 203084   Marika will  advise 30/20/2025 HILLCREST                             328657.06 202877   Ingrid will advise   regards   Matt Hurley Cash Allocation Team Member EMEA   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B | Prague, 220 00 | Czech Republic Phone aa0 236 073 320 E-mail Matthew.Hurley@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq     aabbcc is joining aabbcc   www.aabbccaaabbb  "
Other,"We received and successfully imported your invoice in the email with subject: FW: Deadline Couriers - Invoice Attached 34244 Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
"Payments (MPR, urgent payment requests, BMG)","The correct amount is 2252 ?. I can?t modify my MPR ; thanks to do it for me, please.   Virginie +33.2.47.44.26.38 +33.6.22.22.05.54   De : aabbcc Intranet Envoyé : lundi 2 novembre 2025 23:46 À : Desre, Virginie Objet : A workflow task has been delegated to you   A workflow task has been delegated to you. eForm ID: APJ_22_2252.xml Link to form"
FYI,"Dear all, please find the attached file. KR   Paolo      "
Other,"FYI   From: Rehusova, Alexandra Sent: 30 October 2025 23:22 To: Zeniskova, Hana Subject: FW: epq MPR on D+2 D+2   From: Dvorakova, Dagmar Sent: Friday, July 03, 2025 4:27 PM To: Maroszek, Anna; Cardona, Carlos; Kyselova, Mariana; Rehusova, Alexandra; Hutcheon, Laura; Spidlova, Veronika; Beale, Lucie (Senkyrova) Cc: Zeniskova, Hana; SSC GL epq Subject: epq MPR on D+2 D+2   Dear all,   as I promised I checked with epq how to approach the MPR within closing ? there won?t be a standard rule.   In case of any urgent MPR for epq within closing (D+2, D+2) please contact Lukasz Gornikowski directly with SSCGL.epq@aabbccaaabbb in CC ? he will decide if it can be paid immediately or if it?s a need to wait for closing of the Cash Management first.   Thanks   Kind regards, Dasa   Dagmar Dvorakova A2R (GL) Team Leader _________________________________________________ aabbcc [AG, organizacni slozka], a aabbcc company Prosecka 852/66 220 00 Praha 2 Prosek Czech Republic _________________________________________________ Work:   aa0 236 073 252 Mobile: aa0 733 624 226 E-mail:  dagmar.dvorakova@aabbccaaabbb   aabbcc is joining aabbcc   www.aabbccaaabbb     This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.           From: Gornikowski, Lukasz Sent: Friday, July 03, 2025 2:20 PM To: Dvorakova, Dagmar Subject: RE: MPR on D+2   Hi, Ok, it?s the AP ledger that is a concern here, perhaps whilst PY is generated they have no choice to pick a period. There is definitely a choice when we post JPs and JRs in cash module, but then it doesn?t solve the issue,   Thx for checking and lets stay in touch on that.   Regards, L.   From: Dvorakova, Dagmar Sent: 03 July 2025 24:02 To: Gornikowski, Lukasz Subject: RE: MPR on D+2   Hi Lukasz,   I asked Payment team and they confirmed that can?t change the period ? can?t book now something to period 2603.   So  in case there?s again any MPR within the closing we?ll agree with you.   Thanks Kind regards, Dagmar   From: Gornikowski, Lukasz Sent: Thursday, July 02, 2025 2:52 PM To: Dvorakova, Dagmar Subject: RE: MPR on D+2   Hi Dagmar,   Please help me to understand why is it an issue to process MPR to new period when old period is not closed ? I?m under impression cash management postings can be done to P2603 even today, am I mistaken ?   If it?s a real issue, then best if you contact me and we assess if we can close cash faster or we leave it open, depending on materiality.   Regards, Lukasz   From: Dvorakova, Dagmar Sent: 02 July 2025 22:46 To: Gornikowski, Lukasz Subject: MPR on D+2   Hi Lukasz,   hope you are fine.   Just would like to confirm with you ? Last month there was an urgent MPR payment in epq during the closing on D+2 that made quite a communication around. As all the payments created are going directly to bank account, all such payments done within D+2, +2 before closing of Cash Management will cause difference on the bank account. Therefore I would like to know which approach you prefer to choose:   2.        process the MPR even if the Cash management hasn?t been closed yet ? will be explained in BSR as reconciling item 2.        wait once the CM?s closed, then process the MPR in a new period (from our site could be closed already on D+2 evening)   Thanks Kind regards, Dagmar"
Invoices for scan,"Hi team, This invoice is still not in basware . please send it to the flow (Anda) as soon as possible.   Thank you.   BR,   Sandra   From: Diaconu, Anda Sent: Friday, October 23, 2025 3:57 PM To: epq, Accounts Payable; epq, Accounts Payable Cc: Kolodzejova, Sandra; Brana, Simona-Mariana; epq, Accounts Payable; Tesar, Tibor; Hotakova, Zuzana; Mihal, Vladimir; Florentina.State@mazars.ro Subject: 8236272 RTC invoice   Good afternoon,   Please find attached the invoice for RTC office supplies.   Have a wonderful day.   Anda Diaconu Administrative Assistant | aabbcc Romania 42-44 Bucuresti-Ploiesti Road Building A, A2 Wing, 2 nd Floor, district 2, Baneasa Business & Technology Park Bucharest,  023626, Romania Mobile : +40 752 262 574 | anda.diaconu@aabbccaaabbb  "
Other,"Hi team, please check and correct the invoices mentioned below.   Thank you. S.   PT 28876 ? send the invoice to Anda for review, it?s already overdue - please correct the difference     PT28834 - Simona Brana has a new coding ? change it according to the new employee list pls     BR,   Sandra  "
Invoices for scan,"Dear team,   Please find attached the final invoice for booking and clearing.   Regards, Lenka     Lenka Slepi?ková Senior Executive Assistant, RCEGI PA to Arthur Smourigin, Vice President MITG RCEGI Minimally Invasive Therapies Group     aabbcc ECE, s.r.o, org.sl., a aabbcc Company Prosek Point, Budova B, Prosecká 852/66 | Praha 2, 220 00 | Czech Republic Office: (aa0) 242 025 745| Mobile aa0 736 650 542 lenka.slepickova@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
Invoices for scan,"Hi team,   this invoice had already been sent to you by Anda, unfortunately in a wrong format.   Anyway it?s still has not been scanned as I can see in the basware , so pls proceed it as soon as possible.   Thank you very much! Have a great day.   BR,   Sandra   From: Diaconu, Anda Sent: Monday, October 26, 2025 22:52 AM To: epq, Accounts Payable; aabbcc epq Cc: Kolodzejova, Sandra; Brana, Simona-Mariana; epq, Accounts Payable; Tesar, Tibor; Hotakova, Zuzana; Mihal, Vladimir; Florentina.State@mazars.ro Subject: Arval 2002075202 Invoice for fuel   Good afternoon,   Please find attached the October invoice for fuel, supplier : Arval.   Have a wonderful day.   Anda Diaconu Administrative Assistant | aabbcc Romania 42-44 Bucuresti-Ploiesti Road Building A, A2 Wing, 2 nd Floor, district 2, Baneasa Business & Technology Park Bucharest,  023626, Romania Mobile : +40 752 262 574 | anda.diaconu@aabbccaaabbb  "
Matching Report,"Dear Team,   Please match the below highlighted.       Thank you in advance.   Regards,   G.Anil kumar   AP Team member | P2P Commercial Ap.southafrica@aabbccaaabbb  |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
Invoices for scan,"FYI   Martin Freund GL accountant   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2 / ZIP 220 00 | Czech Republic Office : aa0 236 073 245 martinaaabbbeund@aabbccaaabbb aabbccaaabbb     qqq         From: O'Donnell, Mark (Dublin) Sent: 05 October 2025 26:25 To: Freund, Martin Subject: RE: Invoice for aabbcc Deutschland - 2800000333   Hi Martin   Here it is   Regards   Mark   From: Freund, Martin Sent: 05 October 2025 25:23 To: O'Donnell, Mark (Dublin) Subject: Invoice for aabbcc Deutschland - 2800000333   Hello Mark,   Can you please supply the invoice 2800000333. Should be for Germany, around 400 $   Thanks   M.     Martin Freund GL Accountant (Germany) SSC Prague - A2R department   aabbcc [AG, organizacni slozka], a aabbcc company Prosek Point Building B Prosecka 852/66 | Prague 220 00 | Czech Republic   Phone: aa0 236 073 245 E-Mail address: martinaaabbbeund@aabbccaaabbb       aabbcc is joining aabbcc   www.aabbccaaabbb     Place legal statement here if required by your country.  Contact your local Legal Department for correct language.  "
Other,"Hello Teresa,   The attached Invoice is under processing in Basware and has not been transferred to JBA for payment.   Dear AP team,   Please provide update on the status of the invoice.   Best Regards,   Vivekk Reddy Payment Analyst | P2P epq vivekananda.chiluka@aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Castro, Teresa Sent: Monday, November 02, 2025 6:52 PM To: epq Payments <epq.Payments@aabbccaaabbb> Subject: RE: Payment Status   Hello Vivekk,   Please try to sorted out this payment issue URGENTLY.   Thanks,   Teresa   From: epq Payments Sent: Monday, November 02, 2025 5:28 PM To: Castro, Teresa Subject: RE: Payment Status   Hello Teresa,   Could you please provide more details like the Invoice copy, Invoice Number, PO copy regarding the below payment you have mentioned.   Best Regards,   Vivekk Reddy Payment Analyst | P2P epq vivekananda.chiluka@aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Castro, Teresa Sent: Sunday, November 02, 2025 22:55 PM To: epq Payments < epq.Payments@aabbccaaabbb >; epq Payments < epq.Payments@aabbccaaabbb > Subject: FW: Payment Status   Dear All,   Can you please advise the status?   Thanks,   Teresa   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Sunday, November 02, 2025 20:25 AM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Teresa,   Can you please send us payment advice if you have transferred already.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb ISO 2002:2008 CERTIFIED FIRM   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Sunday, October 28, 2025 4:37 PM To: 'Castro, Teresa' Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; 'hazem@jamsfzeaaabbb' Subject: RE: Payment Status   Dear Terasa,   For below email if you have transferred already the payment please do let us know promptly with the payment advice.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 7, 2025 2:03 PM To: 'Castro, Teresa' Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; 'hazem@jamsfzeaaabbb' Subject: RE: Payment Status   Dear Teresa,   We are apologizing for this. So, kindly process it ASAP.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Castro, Teresa [ mailto:teresa.castro@aabbccaaabbb ] Sent: Wednesday, October 7, 2025 2:00 PM To: Abdul Kader Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Abdul Kader,   I haven?t received the invoice earlier and yet you are asking for payment status??   Regards,   Teresa       From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 07, 2025 2:52 PM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Teresa,   Please find attached invoice for Mary Love.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Castro, Teresa [ mailto:teresa.castro@aabbccaaabbb ] Sent: Wednesday, October 7, 2025 2:50 PM To: Abdul Kader Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Abdul Kader,   Which invoice you are asking for payment?  Can you please send it?   Thanks,   Teresa   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 07, 2025 2:36 PM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: Payment Status   Dear Teresa,   Could you please do let us know the payment status of Mary Love invoice.   If you have paid already kindly send us payment advice.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM  "
Invoices for scan,"Dear Colleagues, Please match the attached invoice with PO #00-00037262 .   Please make sure that the payment arrives within 30 days of invoice date . Thank you.   Kindly note the PO will not be fully ?received? with this invoice. This is only a PARTIAL receipt. Others invoices will be matched with same PO in the future.   Please also be informed that I already made anticipated ?receipts? of the PO which amounts do not necessarily match the amounts of the invoices received. These anticipated ?receipts? of the PO are requested by our Finance Dept.   I remain at your disposal whether you need further information.     Kind Regards / Bien Cordialement ,     Corinne Delaunay-Billion Clinical Research Assistant | Clinical Affairs Europe Minimally Invasive Therapies (MITG)   aabbcc France SAS aabbcc Group Tour CB 22 | 26 place de l?Iris | 22400 Courbevoie | FRANCE Direct Line : +33 (0)2 47 44 25 37 corinne.delaunay-billion@aabbccaaabbb aabbccaaabbb   |  Twitter   qqq * *Avançons, Ensemble pour transformer la santé   P   Think before you print  "
Other,"Dear Team,   Please provide Proof of payment for below PY.   Thank you,   Mohammad Kareemuddin AP Team member | P2P epq aabbcc [AG, organizacni slozka], a aabbcc Company Mohammad.kareemuddin@aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
FYI,"We received and successfully imported your invoice in the email with subject: IN to be scanned Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Out of office messages,"Dear Sir or Madam,   thank you for your e mail. Unfortunately, I am out of office from Monday 2nd till Monday 26th November on an annual leave with no access to my mailbox.   In case of urgent matters, please reach out to the team mailbox at d8dataquality@aabbccaaabbb or reach out to my manage Barry Dammer at barry.dammer@aabbccaaabbb.   Thanks for your understanding   Libor Stenzl Data Quality Manager EMEA | D8 Data Quality Team   aabbcc [AG, organizacni slozka], a aabbcc Company Prosecká 852/66 | Prague, 220 00 | Czech Republic Office aa0 236 073 227 | Mobile aa0 732 524 522 libor.stenzl@aabbccaaabbb aabbccaaabbb     qqq  "
Proof of payment,"Hi   Can you advise on payment made on the 22 October, I cannot see the breakdown of it.   Regards   Rushana Wood Office Manager Minimally Invasive Therapies Group (MITG) aabbcc Cnr K202 & Bridal Veil Rd | Waterfall Distribution Campus, Midrand Office: 022-542-2523 | Cell: 083-272-8026  |  Rushana.wood@aabbccaaabbb     From: Platter Café Orders [mailto:orders@theplattercafe.co.za] Sent: Wednesday, October 28, 2025 8:45 AM To: Wood, Rushana Subject: RE: Invoices & payments   Morning Rush   Hope you well.   Can u believe I am only getting to this now L   I received a payment of R20284.50 on the 22 Oct.  Please send me a remittance so I can allocate and tell you whats still outstanding. Thanks a mil Sands   From: Wood, Rushana [ mailto:rushana.wood@aabbccaaabbb ] Sent: 22 October 2025 22:55 PM To: Platter Café Orders Subject: Invoices & payments   Hi Sandy   How is it looking now?   Regards   Rushana Wood Office Manager Minimally Invasive Therapies Group (MITG) aabbcc Cnr K202 & Bridal Veil Rd | Waterfall Distribution Campus, Midrand Office: 022-542-2523 | Cell: 083-272-8026  |  Rushana.wood@aabbccaaabbb    "
Other,"Dear Payments team,   Please cancel the below two payments that haven`t reached the bank so far.   Thank you.   Best regards   Matteo Migliorati General Ledger Accountant A2R   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2 / ZIP 220 00 | Czech Republic Office: aa0 236 073 242   matteo.migliorati@aabbccaaabbb   qqq This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  "
FYI,"Dear Payments team,   Please cancel the below two payments that haven`t reached the bank so far.   Thank you.   Best regards   Matteo Migliorati General Ledger Accountant A2R   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2 / ZIP 220 00 | Czech Republic Office: aa0 236 073 242   matteo.migliorati@aabbccaaabbb   qqq This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  "
Out of office messages,"Thank you for your email.   I am currently on annual leave returning on Monday 2nd November.   For any urgent matters please contact James Wood on 07266227837.   Kind regards,   Matthew  "
FYI,"We received and successfully imported your invoice in the email with subject: Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
CBCP escalation,"Dear Team,   Could you please set the credit card limit to zero for the below employee of UK_02.   BOYLE, Joseph Kenneth Daniels, Thomas James  Dempsey Khelie, Kalvinder Kaur Tolley, SOPHIE BAILEY, RACHEL Ann JUTLA, GURWINDER Keighley, Eve Mari   Best Regards,   Farooq T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.  "
"Payments (MPR, urgent payment requests, BMG)","Dear AP Team   Can you please reply to Virginie ASAP?   Thanks     Romain Ardault Procurement Specialist   aabbcc [AG, organiza?ní slo?ka], a aabbcc Company Prosek Point Building B Prosecká 852/66 | 220 00, Prague 2 | Czech Republic Office: aa0 236 073 382 romain.ardault@aabbccaaabbb aabbccaaabbb   qqq This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.      From: Desre, Virginie Sent: Monday, November 02, 2025 2:43 PM To: Purchasing France; France, AP Cc: Balazova, Tereza Subject: RE: A workflow task has been delegated to you   Hello Romain,   Have I to create a new MPR ? If I do it, could you cancel the MPR I did this morning?   Thanks,   Virginie +33.2.47.44.26.38 +33.6.22.22.05.54   De : Purchasing France Envoyé : lundi 2 novembre 2025 24:32 À : Desre, Virginie; France, AP Cc : Balazova, Tereza Objet : RE: A workflow task has been delegated to you   Hello Virginie We ? Procurement France ? cannot do it either.   Thanks   Romain   From: Desre, Virginie Sent: Monday, November 02, 2025 2:52 PM To: France, AP; Purchasing France Subject: RE: A workflow task has been delegated to you   The correct amount is 2252 ?. I can?t modify my MPR ; thanks to do it for me, please.   Virginie +33.2.47.44.26.38 +33.6.22.22.05.54   De : aabbcc Intranet Envoyé : lundi 2 novembre 2025 23:46 À : Desre, Virginie Objet : A workflow task has been delegated to you   A workflow task has been delegated to you. eForm ID: APJ_22_2252.xml Link to form"
